,urls,attraction
56,https://www.tripadvisor.co.kr/Attraction_Review-g2024805-d3805378-Reviews-Jincheon_Bell_Museum-Jincheon_gun_Chungcheongbuk_do.html#REVIEWS,Jincheon_Bell_Museum-Jincheon_gun_Chungcheongbuk_do
57,https://www.tripadvisor.co.kr/Attraction_Review-g2024805-d8870941-Reviews-Botapsa_Temple-Jincheon_gun_Chungcheongbuk_do.html#REVIEWS,Botapsa_Temple-Jincheon_gun_Chungcheongbuk_do
58,https://www.tripadvisor.co.kr/Attraction_Review-g424960-d320368-Reviews-Hwaseong_Fortress-Suwon_Gyeonggi_do.html#REVIEWS,Hwaseong_Fortress-Suwon_Gyeonggi_do
59,https://www.tripadvisor.co.kr/Attraction_Review-g424960-d2255313-Reviews-Hwaseong_Haenggung_Palace-Suwon_Gyeonggi_do.html#REVIEWS,Hwaseong_Haenggung_Palace-Suwon_Gyeonggi_do
60,https://www.tripadvisor.co.kr/Attraction_Review-g424960-d3805482-Reviews-Paldalmun_Gate-Suwon_Gyeonggi_do.html#REVIEWS,Paldalmun_Gate-Suwon_Gyeonggi_do
61,https://www.tripadvisor.co.kr/Attraction_Review-g424960-d3805593-Reviews-Hwahongmun_Gate-Suwon_Gyeonggi_do.html#REVIEWS,Hwahongmun_Gate-Suwon_Gyeonggi_do
62,https://www.tripadvisor.co.kr/Attraction_Review-g424960-d3805536-Reviews-Janganmun_Gate-Suwon_Gyeonggi_do.html#REVIEWS,Janganmun_Gate-Suwon_Gyeonggi_do
63,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1519813-Reviews-Hangang_Park-Seoul.html#REVIEWS,Hangang_Park-Seoul
64,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1761093-Reviews-Eland_Cruise-Seoul.html#REVIEWS,Eland_Cruise-Seoul
65,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d2194162-Reviews-Wolmido-Incheon.html#REVIEWS,Wolmido-Incheon
66,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d3821843-Reviews-Wolmi_Park-Incheon.html#REVIEWS,Wolmi_Park-Incheon
67,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d8084305-Reviews-Wolmi_Theme_Park-Incheon.html#REVIEWS,Wolmi_Theme_Park-Incheon
68,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d13833680-Reviews-Wolmido_Cruise-Incheon.html#REVIEWS,Wolmido_Cruise-Incheon
69,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1235392-Reviews-Jogyesa_Temple-Seoul.html#REVIEWS,Jogyesa_Temple-Seoul
70,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d554634-Reviews-Jongmyo_Shrine-Seoul.html#REVIEWS,Jongmyo_Shrine-Seoul
71,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d7891794-Reviews-Jongno_Jewelry_Shopping_Street-Seoul.html#REVIEWS,Jongno_Jewelry_Shopping_Street-Seoul
72,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d1046419-Reviews-Cheonggyecheon_Stream-Seoul.html#REVIEWS,Cheonggyecheon_Stream-Seoul
73,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d14956599-Reviews-Jonglo3ga_Pojangmacha_Geoli-Seoul.html#REVIEWS,Jonglo3ga_Pojangmacha_Geoli-Seoul
74,https://www.tripadvisor.co.kr/Attraction_Review-g2024869-d3422951-Reviews-Guri_Tower-Guri_Gyeonggi_do.html#REVIEWS,Guri_Tower-Guri_Gyeonggi_do
75,https://www.tripadvisor.co.kr/Attraction_Review-g2024869-d3420766-Reviews-Donggureung-Guri_Gyeonggi_do.html#REVIEWS,Donggureung-Guri_Gyeonggi_do
76,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d5252556-Reviews-Songdo_Central_Park-Incheon.html#REVIEWS,Songdo_Central_Park-Incheon
77,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d3420565-Reviews-Songdo_Beach-Busan.html#REVIEWS,Songdo_Beach-Busan
78,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d3821977-Reviews-Songdo_Convensia-Incheon.html#REVIEWS,Songdo_Convensia-Incheon
79,https://www.tripadvisor.co.kr/Attraction_Review-g297884-d12318661-Reviews-Songdo_Skywalk-Busan.html#REVIEWS,Songdo_Skywalk-Busan
80,https://www.tripadvisor.co.kr/Attraction_Review-g297889-d10412262-Reviews-Hyundai_Premium_Outlet_Songdo-Incheon.html#REVIEWS,Hyundai_Premium_Outlet_Songdo-Incheon
81,https://www.tripadvisor.co.kr/Attraction_Review-g294197-d10523451-Reviews-Lotte_Cinema_Gasan_Digital-Seoul.html#REVIEWS,Lotte_Cinema_Gasan_Digital-Seoul
