,category,highest_topic,highest_ratio,topic_ratio,topic2,topic3,topic1,topic4,attr_index,attraction,category
76,27,1.0,0.8007000088691711,"[(1, 0.8006933), (4, 0.18946551)]",0.0,0.0,0.8006932735443115,0.1894655078649521,114,Yongpyeong_Resort_Gondola-Pyeongchang_gun_Gangwon_do,27
77,27,1.0,0.988099992275238,"[(1, 0.98807216), (4, 0.010941932)]",0.0,0.0,0.9880721569061279,0.01094193197786808,115,Peak_Island_Yongpyeong_Water_Park-Pyeongchang_gun_Gangwon_do,27
78,9,4.0,0.9988999962806702,"[(4, 0.9989357)]",0.0,0.0,0.0,0.9989356994628906,119,Yongduam_Rock-Jeju_Jeju_Island,9
79,40,1.0,0.9794999957084656,"[(1, 0.9794697)]",0.0,0.0,0.9794697165489197,0.0,124,Yonin_Natural_Recreation_Forest-Yongin_Gyeonggi_do,40
80,40,3.0,0.7466999888420105,"[(1, 0.2525653), (3, 0.74669504)]",0.0,0.7466950416564941,0.25256529450416565,0.0,125,Yongin_Daejanggeum_Park-Yongin_Gyeonggi_do,40
81,40,3.0,0.7440000176429749,"[(2, 0.23970237), (3, 0.7439831)]",0.23970237374305725,0.7439830899238586,0.0,0.0,126,Yongin_Cultural_Heritage_Museum-Yongin_Gyeonggi_do,40
82,40,3.0,0.7861999869346619,"[(1, 0.115515254), (2, 0.08951191), (3, 0.7861969)]",0.08951190859079361,0.7861968874931335,0.11551525443792343,0.0,127,Korean_Folk_Village-Yongin_Gyeonggi_do,40
83,17,3.0,0.9896000027656555,"[(2, 0.010166553), (3, 0.9896466)]",0.010166552849113941,0.9896466135978699,0.0,0.0,129,National_Palace_Museum_of_Korea-Seoul,17
84,26,3.0,1.0,"[(3, 0.9999557)]",0.0,0.9999557137489319,0.0,0.0,142,DMZ-Paju_Gyeonggi_do,26
85,26,3.0,0.9991000294685364,"[(3, 0.99912226)]",0.0,0.9991222620010376,0.0,0.0,143,The_Third_Tunnel-Paju_Gyeonggi_do,26
86,26,3.0,0.9207000136375427,"[(1, 0.07642819), (3, 0.9207062)]",0.0,0.9207062125205994,0.07642818987369537,0.0,144,Imjingak_Pyeonghoa_Nuri_Park-Paju_Gyeonggi_do,26
87,26,3.0,0.9997000098228455,"[(3, 0.9996914)]",0.0,0.9996914267539978,0.0,0.0,145,Dora_Observatory-Paju_Gyeonggi_do,26
88,35,1.0,0.5152999758720398,"[(1, 0.5153354), (2, 0.2712548), (3, 0.10783746), (4, 0.105572306)]",0.2712548077106476,0.10783746093511581,0.5153353810310364,0.10557230561971664,148,Daegu_Arboretum-Daegu,35
89,35,1.0,0.711899995803833,"[(1, 0.71188974), (2, 0.18921389), (3, 0.098465785)]",0.18921388685703278,0.09846578538417816,0.7118897438049316,0.0,149,The_Arc-Daegu,35
90,9,4.0,0.4113999903202057,"[(1, 0.1596505), (2, 0.10310369), (3, 0.32585907), (4, 0.41138676)]",0.10310368984937668,0.32585906982421875,0.1596505045890808,0.41138675808906555,151,Jeju_Museum_of_Art-Jeju_Jeju_Island,9
91,38,2.0,0.7322999835014343,"[(2, 0.7322911), (3, 0.25830957)]",0.7322911024093628,0.25830957293510437,0.0,0.0,153,Jeonju_Hanok_Village-Jeonju_Jeollabuk_do,38
92,38,4.0,0.35670000314712524,"[(2, 0.3060116), (3, 0.3368981), (4, 0.35669228)]",0.3060115873813629,0.3368980884552002,0.0,0.35669228434562683,154,Omokdae_and_Imokdae-Jeonju_Jeollabuk_do,38
93,38,2.0,0.6919999718666077,"[(2, 0.69204414), (3, 0.30762464)]",0.6920441389083862,0.3076246380805969,0.0,0.0,155,Jeondong_Catholic_Church-Jeonju_Jeollabuk_do,38
94,38,3.0,0.6477000117301941,"[(2, 0.35198158), (3, 0.64767134)]",0.35198158025741577,0.6476713418960571,0.0,0.0,156,Gyeonggijeon_Shrine-Jeonju_Jeollabuk_do,38
95,24,4.0,0.5138000249862671,"[(1, 0.022532826), (3, 0.46364322), (4, 0.5138026)]",0.0,0.46364322304725647,0.02253282628953457,0.5138025879859924,160,Seoraksan_National_Park-Sokcho_Gangwon_do,24
96,9,4.0,0.9991999864578247,"[(4, 0.99916714)]",0.0,0.0,0.0,0.9991671442985535,162,Songaksan_Mountain-Seogwipo_Jeju_Island,9
97,9,4.0,1.0,"[(4, 0.9999513)]",0.0,0.0,0.0,0.9999513030052185,164,Hallasan_National_Park-Seogwipo_Jeju_Island,9
98,19,3.0,0.9878000020980835,"[(3, 0.9878329)]",0.0,0.9878329038619995,0.0,0.0,165,Bulguksa_Temple-Gyeongju_Gyeongsangbuk_do,19
99,19,1.0,0.6646999716758728,"[(1, 0.6646513), (3, 0.33448187)]",0.0,0.3344818651676178,0.6646512746810913,0.0,166,Bomun_Tourism_Complex-Gyeongju_Gyeongsangbuk_do,19
100,19,3.0,0.9327999949455261,"[(2, 0.021611549), (3, 0.93276876), (4, 0.04553628)]",0.021611548960208893,0.9327687621116638,0.0,0.04553627967834473,167,Yangdong_Folk_Village-Gyeongju_Gyeongsangbuk_do,19
101,9,4.0,0.8646000027656555,"[(3, 0.13412139), (4, 0.86458623)]",0.0,0.1341213881969452,0.0,0.8645862340927124,170,Geomunoreum-Jeju_Jeju_Island,9
102,39,3.0,0.9580000042915344,"[(3, 0.9580296), (4, 0.041085258)]",0.0,0.9580296277999878,0.0,0.04108525812625885,175,Donghwasa-Daegu,39
103,39,4.0,0.47360000014305115,"[(1, 0.09434661), (3, 0.4307049), (4, 0.47356594)]",0.0,0.43070489168167114,0.09434661269187927,0.473565936088562,177,Palgongsan_Cable_Car-Daegu,39
104,39,3.0,0.6340000033378601,"[(3, 0.63401556), (4, 0.36463442)]",0.0,0.6340155601501465,0.0,0.3646344244480133,178,Gatbawi_Rock-Mokpo_Jeollanam_do,39
105,9,4.0,0.8377000093460083,"[(1, 0.08098674), (3, 0.081151634), (4, 0.8376523)]",0.0,0.08115163445472717,0.08098673820495605,0.837652325630188,186,Jeju_Travel_Lucas-Jeju_Jeju_Island,9
106,3,3.0,0.9620000123977661,"[(3, 0.9620487), (4, 0.029755946)]",0.0,0.9620487093925476,0.0,0.02975594624876976,187,Cheonggyesa_Temple-Uiwang_Gyeonggi_do,3
107,35,3.0,0.516700029373169,"[(2, 0.48090497), (3, 0.51673675)]",0.4809049665927887,0.5167367458343506,0.0,0.0,189,Daegu_Yangnyeongsi_Museum_of_Oriental_Medicine-Daegu,35
108,9,4.0,0.4932999908924103,"[(1, 0.014995986), (2, 0.047890555), (3, 0.44383746), (4, 0.49327597)]",0.047890555113554,0.4438374638557434,0.01499598566442728,0.4932759702205658,208,Jeju_Folk_Village_Jeju_Minsokchon-Seogwipo_Jeju_Island,9
109,23,2.0,0.9690999984741211,"[(1, 0.010315166), (2, 0.9690866), (3, 0.010290276), (4, 0.010307936)]",0.9690865874290466,0.010290276259183884,0.010315165854990482,0.010307935997843742,212,Cheongdam_Fashion_Street-Seoul,23
110,31,4.0,0.8837000131607056,"[(1, 0.10040296), (3, 0.01569471), (4, 0.8836626)]",0.0,0.01569470949470997,0.10040295869112015,0.8836625814437866,218,Windy_Hill-Geoje_Gyeongsangnam_do,31
111,16,2.0,0.46880000829696655,"[(1, 0.026147058), (2, 0.46884322), (3, 0.1847909), (4, 0.3202188)]",0.4688432216644287,0.18479089438915253,0.026147058233618736,0.3202188014984131,221,Gamcheon_Culture_Village-Busan,16
112,9,4.0,0.5929999947547913,"[(1, 0.40688127), (4, 0.59298235)]",0.0,0.0,0.40688127279281616,0.5929823517799377,227,Hyeopjae_Beach-Jeju_Jeju_Island,9
113,12,1.0,0.6259999871253967,"[(1, 0.62601733), (2, 0.37375686)]",0.37375685572624207,0.0,0.6260173320770264,0.0,241,SMTOWN_coexartium-Seoul,12
114,34,1.0,0.8589000105857849,"[(1, 0.85885966), (2, 0.0739749), (3, 0.0670441)]",0.07397489994764328,0.06704410165548325,0.858859658241272,0.0,257,Seoul_World_Cup_Stadium-Seoul,34
115,21,1.0,0.90829998254776,"[(1, 0.9083124), (4, 0.08783236)]",0.0,0.0,0.9083123803138733,0.08783236145973206,261,Gyeongpo_Beach-Gangneung_Gangwon_do,21
116,25,2.0,0.7332000136375427,"[(1, 0.24023226), (2, 0.7332134), (3, 0.026427705)]",0.7332134246826172,0.026427704840898514,0.24023225903511047,0.0,265,BEXCO_Busan_Exhibition_Convention_Center-Busan,25
117,22,4.0,0.5424000024795532,"[(1, 0.43650055), (3, 0.021052122), (4, 0.5424302)]",0.0,0.021052122116088867,0.43650054931640625,0.5424302220344543,268,Taejongdae-Busan,22
118,22,1.0,0.5449000000953674,"[(1, 0.54485846), (4, 0.45221272)]",0.0,0.0,0.544858455657959,0.45221272110939026,269,Taejongdae_Resort_Park-Busan,22
119,9,4.0,0.8992999792098999,"[(1, 0.0634667), (3, 0.036837902), (4, 0.89933324)]",0.0,0.036837901920080185,0.06346669793128967,0.8993332386016846,277,Jeolmul_Natural_Forest_Resort-Jeju_Jeju_Island,9
120,29,4.0,0.4745999872684479,"[(1, 0.072423115), (3, 0.45227227), (4, 0.47463483)]",0.0,0.4522722661495209,0.07242311537265778,0.4746348261833191,280,Hallyeo_National_Marine_Park_View_Ropeway-Tongyeong_Gyeongsangnam_do,29
121,15,3.0,0.5856000185012817,"[(1, 0.38270268), (3, 0.5855547), (4, 0.03120225)]",0.0,0.5855547189712524,0.38270267844200134,0.031202249228954315,290,Yonggungsa_Temple-Incheon,15
122,24,4.0,0.757099986076355,"[(3, 0.24277455), (4, 0.75705165)]",0.0,0.24277454614639282,0.0,0.7570516467094421,294,Ulsanbawi_Rock-Sokcho_Gangwon_do,24
123,10,1.0,0.9783999919891357,"[(1, 0.97842795), (3, 0.014960786)]",0.0,0.014960786327719688,0.9784279465675354,0.0,311,Gangchon_Rail_Park-Chuncheon_Gangwon_do,10
124,26,3.0,0.9968000054359436,"[(3, 0.99675393)]",0.0,0.9967539310455322,0.0,0.0,316,The_4th_Tunnel-Yanggu_gun_Gangwon_do,26
125,9,4.0,0.9998000264167786,"[(4, 0.9997512)]",0.0,0.0,0.0,0.9997512102127075,320,Yongmeori_Beach-Seogwipo_Jeju_Island,9
126,10,3.0,0.5184999704360962,"[(1, 0.38910767), (3, 0.51854354), (4, 0.09194426)]",0.0,0.518543541431427,0.38910767436027527,0.09194426238536835,324,Cheongpyeongsa_Temple-Chuncheon_Gangwon_do,10
127,28,1.0,0.9940000176429749,"[(1, 0.99400496)]",0.0,0.0,0.9940049648284912,0.0,325,Cheongpyeong_Lake-Gapyeong_gun_Gyeonggi_do,28
128,28,4.0,0.9273999929428101,"[(1, 0.024499854), (2, 0.023960987), (3, 0.024097865), (4, 0.92744124)]",0.023960987105965614,0.024097865447402,0.02449985407292843,0.9274412393569946,326,Cheongpyeong_Natural_Recreational_Forest-Gapyeong_gun_Gyeonggi_do,28
129,10,1.0,0.8532000184059143,"[(1, 0.8531578), (3, 0.10174968), (4, 0.0443342)]",0.0,0.10174968093633652,0.8531578183174133,0.04433419927954674,327,Soyang_Lake-Chuncheon_Gangwon_do,10
