"","attraction","category","lon","lat"
"70","Yongdusan_Park-Busan",11,129.0326226,35.1006536
"71","Mireuksan_Mountain-Tongyeong_Gyeongsangnam_do",29,128.4163241,34.8105028
"72","Everland-Yongin_Gyeonggi_do",14,127.2025664,37.2939104
"73","Coex_Aquarium-Seoul",12,127.0582827,37.513131
"74","Starfield_COEX_Mall-Seoul",12,127.0593394,37.511685
"75","Gwanghwamun_Gate-Seoul",17,126.9768157,37.5759369
"76","Phoenix_Snow_Park-Pyeongchang_gun_Gangwon_do",27,128.327396,37.5812586
"77","Yongpyeong_Resort_Gondola-Pyeongchang_gun_Gangwon_do",27,128.680043,37.643055
"78","Peak_Island_Yongpyeong_Water_Park-Pyeongchang_gun_Gangwon_do",27,128.3899769,37.370474
"79","Yongduam_Rock-Jeju_Jeju_Island",9,126.5120637,33.5162323
"80","Yonin_Natural_Recreation_Forest-Yongin_Gyeonggi_do",40,127.1775537,37.2410864
"81","Yongin_Daejanggeum_Park-Yongin_Gyeonggi_do",40,127.3368503,37.1212087
"82","Yongin_Cultural_Heritage_Museum-Yongin_Gyeonggi_do",40,127.1100064,37.2674831
"83","Korean_Folk_Village-Yongin_Gyeonggi_do",40,127.1170034,37.2584488
"84","Yongin_City_Agriculural_Technology_Center-Yongin_Gyeonggi_do",40,127.1775537,37.2410864
"85","National_Palace_Museum_of_Korea-Seoul",17,126.9750965,37.5765793
"86","DMZ-Paju_Gyeonggi_do",26,126.7401754,37.8894928
"87","The_Third_Tunnel-Paju_Gyeonggi_do",26,126.6979408,37.9163335
"88","Imjingak_Pyeonghoa_Nuri_Park-Paju_Gyeonggi_do",26,126.7401754,37.8894928
