attraction,category
Seomun_Market-Daegu,35
Daegu_Metro-Daegu,35
Busan_Metro-Busan,
Busan_Station_Plaza-Busan,
Busan_Port-Busan,
Jagalchi_Market-Busan,11
Yongdusan_Park-Busan,11
Museum_of_Art_Seoul_National_University-Seoul,
Seoul_University_Hospital_Medical_Museum-Seoul,
Gyujanggak_Library_of_Seoul_National_University-Seoul,
Kyunghee_University_Seoul_Campus-Seoul,
Geumosan_Provincial_Park-Gumi_Gyeongsangbuk_do,
Mireuksa_Temple_Site-Iksan_Jeollabuk_do,
Mireuksaji_National_Museum-Iksan_Jeollabuk_do,
Mireuksan_Mountain-Tongyeong_Gyeongsangnam_do,29
Everland-Yongin_Gyeonggi_do,14
Seoul_Land-Gwacheon_Gyeonggi_do,
Hoam_Art_Museum-Yongin_Gyeonggi_do,
Coex_Aquarium-Seoul,12
Starfield_COEX_Mall-Seoul,12
Bongeunsa_Temple-Seoul,
Starfield_Library-Seoul,
Gwanghwamun_Gate-Seoul,17
Mudeungsan_National_Park-Gwangju,
Mudeungsan_Jeungsimsa_Temple-Gwangju,
Muuido_Island-Incheon,
Seongnam_Arts_Center-Seongnam_Gyeonggi_do,
Phoenix_Snow_Park-Pyeongchang_gun_Gangwon_do,27
Yongpyeong_Resort_Gondola-Pyeongchang_gun_Gangwon_do,27
Peak_Island_Yongpyeong_Water_Park-Pyeongchang_gun_Gangwon_do,27
Daecheongho_Natural_Ecology_Center-Daejeon,
Tower_Gallery-Busan,
Busan_Tower-Busan,
Busan_Modern_History_Museum-Busan,
Yongduam_Rock-Jeju_Jeju_Island,9
Paju_Premium_Outlets-Paju_Gyeonggi_do,
Yeoju_Premium_Outlets-Yeoju_si_Gyeonggi_do,
Shinjang_Shopping_Mall-Pyeongtaek_Gyeonggi_do,
Gyejoksan_Mountain_Red_Clay_Trail-Daejeon,
Yonin_Natural_Recreation_Forest-Yongin_Gyeonggi_do,40
Yongin_Daejanggeum_Park-Yongin_Gyeonggi_do,40
Yongin_Cultural_Heritage_Museum-Yongin_Gyeonggi_do,40
Korean_Folk_Village-Yongin_Gyeonggi_do,40
Yongin_City_Agriculural_Technology_Center-Yongin_Gyeonggi_do,40
Eumseong_Large_Rock_Face_Sculpture_Park-Eumseong_gun_Chungcheongbuk_do,
National_Palace_Museum_of_Korea-Seoul,17
Hanji_Theme_Park-Wonju_Gangwon_do,
Museum_SAN-Wonju_Gangwon_do,
Mount_Sogeum_Swinging_Bridge-Wonju_Gangwon_do,
Ganhyeon_Yuwonji-Wonju_Gangwon_do,
Geumnamro_Park-Gwangju_Gyeonggi_do,
Chungjeongno_NANTA_Theatre-Seoul,
Asia_Culture_Center-Gwangju,
The_Street_of_Art-Gwangju,
Gwangmyeong_Cave-Gwangmyeong_Gyeonggi_do,
Statue_of_Peace-Gwangmyeong_Gyeonggi_do,
Mt_Mageumsan_Hot_Springs-Changwon_Gyeongsangnam_do,
The_House_of_Changwon-Changwon_Gyeongsangnam_do,
Changwon_Marine_Park-Changwon_Gyeongsangnam_do,
Yongji_Munhwa_Park-Changwon_Gyeongsangnam_do,
DMZ-Paju_Gyeonggi_do,26
The_Third_Tunnel-Paju_Gyeonggi_do,26
Imjingak_Pyeonghoa_Nuri_Park-Paju_Gyeonggi_do,26
Dora_Observatory-Paju_Gyeonggi_do,26
Siheung_Premium_Outlets-Siheung_Gyeonggi_do,
Daeheungdong_Culture_and_Art_Road-Daejeon,
Daeheungdong_Catholic_Church-Daejeon,
Unheung_dong_Dangganjiju-Andong_Gyeongsangbuk_do,
Korea_University-Seoul,
Daegu_Arboretum-Daegu,35
The_Arc-Daegu,35
Gwangju_Museum_of_Art-Gwangju,
Jungoe_Park-Gwangju,
Jeju_Museum_of_Art-Jeju_Jeju_Island,9
Bukchon_Hanok_Village-Seoul,
Jeonju_Hanok_Village-Jeonju_Jeollabuk_do,38
Omokdae_and_Imokdae-Jeonju_Jeollabuk_do,38
Jeondong_Catholic_Church-Jeonju_Jeollabuk_do,38
Gyeonggijeon_Shrine-Jeonju_Jeollabuk_do,38
Damyang_Juknokwon-Damyang_gun_Jeollanam_do,
Metasequoia_lined_Road-Damyang_gun_Jeollanam_do,
Stretch_Angels_Carosugil_Flagsahip_Store-Seoul,
Seoraksan_National_Park-Sokcho_Gangwon_do,24
Bukhansan_National_Park-Seoul,
Songaksan_Mountain-Seogwipo_Jeju_Island,9
Chiaksan_National_Park-Wonju_Gangwon_do,
Hallasan_National_Park-Seogwipo_Jeju_Island,9
Bulguksa_Temple-Gyeongju_Gyeongsangbuk_do,19
Bomun_Tourism_Complex-Gyeongju_Gyeongsangbuk_do,19
Yangdong_Folk_Village-Gyeongju_Gyeongsangbuk_do,19
Odongdo-Yeosu_Jeollanam_do,
Yeosu_Maritime_Cable_Car-Yeosu_Jeollanam_do,
Geomunoreum-Jeju_Jeju_Island,9
Aqua_Planet_Yeosu-Yeosu_Jeollanam_do,
Yeosu_Fish_Market-Yeosu_Jeollanam_do,
Herb_Island-Pocheon_Gyeonggi_do,
Pocheon_Art_Valley-Pocheon_Gyeonggi_do,
Donghwasa-Daegu,39
Gatbawi-Gyeongsan_Gyeongsangbuk_do,
Palgongsan_Cable_Car-Daegu,39
Gatbawi_Rock-Mokpo_Jeollanam_do,39
Ganwoljae-Ulsan,
Yeongnam_Jeil_Gwan-Daegu,
Sinbulsan_Falls_Recreational_Forest-Ulsan,
Hongneung_Yureung-Namyangju_Gyeonggi_do,
Piano_Waterfall-Namyangju_Gyeonggi_do,
Dasan_Heritage_Site-Namyangju_Gyeonggi_do,
Water_Garden-Namyangju_Gyeonggi_do,
Jeju_Travel_Lucas-Jeju_Jeju_Island,9
Galmi_Hangul_Park-Uiwang_Gyeonggi_do,
Cheonggyesa_Temple-Uiwang_Gyeonggi_do,3
Uiwang_Nature_Learning_Park-Uiwang_Gyeonggi_do,
Daegu_Yangnyeongsi_Museum_of_Oriental_Medicine-Daegu,35
Daegu_Oriental_Medicine_Market-Daegu,
Daegu_Yangnyeongsi_Herb_Medicine_Culture_Festival-Daegu,35
Seoullo_7017-Seoul,
Lotte_Cinema_Songtan-Pyeongtaek_Gyeonggi_do,
Andong_Hahoe_Folk_Village-Andong_Gyeongsangbuk_do,
Hahoe_Mask_Museum-Andong_Gyeongsangbuk_do,
Byeongsanseowon_Confucian_Academy-Andong_Gyeongsangbuk_do,
Oeam_Folk_Village-Asan_Chungcheongnam_do,
Sorae_Pogu-Incheon,
Incheon_Complex_Fish_Market-Incheon,
Skyroad-Daejeon,
Apsan_Park-Daegu,
Daegu_Duryu_Park-Daegu,
Incheon_Football_Stadium-Incheon,
Incheon_Munhak_Stadium-Incheon,
Jeondeungsa_Temple-Incheon,
Ganghwa_Peace_Observatory-Incheon,
Chamseongdan_Altar-Incheon,
Andong_Folk_Village-Andong_Gyeongsangbuk_do,
Jeju_Folk_Village_Jeju_Minsokchon-Seogwipo_Jeju_Island,9
Korea_Video_Museum-Daegu,
Lotte_Cinema_Gimpo_Airport-Seoul,
Jangneung-Gimpo_Gyeonggi_do,
Gimpo_International_Airport_Observatory_Deck-Seoul,
Nari_Park-Yangju_Gyeonggi_do,
Cheongdam_Fashion_Street-Seoul,23
Japanese_style_House_in_Sinheung_dong_Hirotsu_House-Gunsan_Jeollabuk_do,
Eunpa_Lake_Park-Gunsan_Jeollabuk_do,
Gunsan_Modern_Architecture_Exhibition_Hall-Gunsan_Jeollabuk_do,
Gunsan_Modern_History_Museum-Gunsan_Jeollabuk_do,
Dongguksa_Temple-Gunsan_Jeollabuk_do,
Windy_Hill-Geoje_Gyeongsangnam_do,31
Uirimji_Lake-Jecheon_Chungcheongbuk_do,
Semyung_University-Jecheon_Chungcheongbuk_do,
Birabong_Jecheondan-Yeongcheon_Gyeongsangbuk_do,
Gamcheon_Culture_Village-Busan,16
Gamcheon_Munhwamaeul_Haneul_Maru_Jeonmangdae-Busan,16
Namsangol_Hanok_Village-Seoul,
Taehwa_River_Seepri_Bamboo_Grove-Ulsan,
Daewangam_Park-Ulsan,
Ilsan_Beach-Ulsan,
Gwangalli_Beach-Busan,
Hyeopjae_Beach-Jeju_Jeju_Island,9
Tangeum_Lake-Chungju_Chungcheongbuk_do,
Chungju_World_Martial_Arts_Park-Chungju_Chungcheongbuk_do,
Chungju_Light_World-Chungju_Chungcheongbuk_do,
Chungju_Museum-Chungju_Chungcheongbuk_do,
Oido_Red_Lighthouse-Siheung_Gyeonggi_do,
Sorae_Ecology_Park-Incheon,
Siheung_Lotus_Flower_Theme_Park-Siheung_Gyeonggi_do,
Daejeon_O_World-Daejeon,
World_Cup_Stadium-Gwangju,
Nam_June_Paik_Art_Center-Yongin_Gyeonggi_do,
May_18th_National_Cemetery-Gwangju,
Gwangju_Folk_Museum-Gwangju,
Gwangjuho_Lake_Eco_Park-Gwangju,
SMTOWN_coexartium-Seoul,12
Jangsan_Mountain-Busan,
Naejangsan_National_Park-Sunchang_gun_Jeollabuk_do,
Naejangsa_Temple-Jeongeup_Jeollabuk_do,
World_Heritage_Network-Jeongeup_Jeollabuk_do,
Naejangsan_Paradise_Park_Colorful_Leaves_Adventure-Seoul,
Kyobo_Book_Store_Gwanghwamun-Seoul,
Cinecube_Kwanghwamun-Seoul,
Munmyo-Seoul,
Paju_Provence_Village-Paju_Gyeonggi_do,
Paju_Book_City-Paju_Gyeonggi_do,
Heyri_Art_Village-Paju_Gyeonggi_do,
Seoul_Grand_Park-Gwacheon_Gyeonggi_do,
Seoul_Children_s_Grand_Park-Seoul,
Bukhansanseong_Fortress-Goyang_Gyeonggi_do,
Jingwansa_Temple-Seoul,
Seoul_World_Cup_Stadium-Seoul,34
Haneul_Park-Seoul,
Gyeongamdong_Railroad_Town-Gunsan_Jeollabuk_do,
Mangsang_Beac-Donghae_Gangwon_do,
Gyeongpo_Beach-Gangneung_Gangwon_do,21
Chuam_Beach-Donghae_Gangwon_do,
Naesosa_Temple-Buan_gun_Jeollabuk_do,
Buan_Celadon_Museum-Buan_gun_Jeollabuk_do,
BEXCO_Busan_Exhibition_Convention_Center-Busan,25
Busan_Museum_of_Art-Busan,
Jinjuseong-Jinju_Gyeongsangnam_do,
Taejongdae-Busan,22
Taejongdae_Resort_Park-Busan,22
Taejongdae_Oncheon-Busan,22
National_Maritime_Museum-Busan,
Amnam_Park-Busan,
Mapo_Art_Center-Seoul,
Mapodaegyo_Bridge-Seoul,
Kukkiwon_World_Taekwondo_Headquarters-Seoul,
Busan_Station_Tourist_Information_Center-Busan,
Busan_China_Town-Busan,
Busan_City_Tour_Bus-Busan,
Jeolmul_Natural_Forest_Resort-Jeju_Jeju_Island,9
Jangtaesan_Natural_Forest-Daejeon,
Kalbongsan_Recreational_Forest-Gapyeong_gun_Gyeonggi_do,28
Daedunsan_Natural_Recreation_Forest-Geumsan_gun_Chungcheongnam_do,
Hallyeo_National_Marine_Park_View_Ropeway-Tongyeong_Gyeongsangnam_do,29
Yudal_Mountain-Mokpo_Jeollanam_do,
Yudalsan_Sculpture_Park-Mokpo_Jeollanam_do,
Mokpo_Bridge-Mokpo_Jeollanam_do,
Homigot_Sunrise_Plaza-Pohang_Gyeongsangbuk_do,
Incheon_Bridge-Incheon,
Incheon_Grand_Park-Incheon,
The_Memorial_Hall_for_Incheon_Landing_Operation-Incheon,
D_Cube_City-Seoul,
Haedong_Yonggung_Temple-Busan,
Yonggungsa_Temple-Incheon,15
Beomeosa_Temple-Busan,
Songjeong_Beach-Busan,
Ulsan_Grand_Park-Ulsan,
Ulsanbawi_Rock-Sokcho_Gangwon_do,24
Ulsan_Museum-Ulsan,
Seoul_City_Hall-Seoul,
Culture_Station_Seoul_284-Seoul,
KTX_Korea_Train_Express-Seoul,
Gwangju_National_Museum-Gwangju,
Daehan_Kukjang-Seoul,
Chungmuro_Pet_Street-Seoul,
Statue_of_Admiral_Yi_Sun_Sin-Seoul,
Seoul_Metro-Seoul,
Mungyeongsaejae_KBS_Drama_Studio-Mungyeong_Gyeongsangbuk_do,
Mungyeong_Saejae_Provincial_Park-Mungyeong_Gyeongsangbuk_do,
Freedom_Protection_Peace_Museum-Dongducheon_Gyeonggi_do,
Jajaeam_Temple-Dongducheon_Gyeonggi_do,
Statue_of_Peace-Dongducheon_Gyeonggi_do,
Donggwang_Geukjang-Dongducheon_Gyeonggi_do,
Uijeongbu_Budaejjigae_Street-Uijeongbu_Gyeonggi_do,
Uijeongbu_City_Hall-Uijeongbu_Gyeonggi_do,
Uijeongbu_Jeil_Market-Uijeongbu_Gyeonggi_do,
Uijeongbu_Indoor_Ice_Rink-Uijeongbu_Gyeonggi_do,
Haemee_Eupseong_Fortress-Seosan_Chungcheongnam_do,
Gangchon_Rail_Park-Chuncheon_Gangwon_do,10
Incheon_Jayu_Park-Incheon,
Gyeyangsan_Mountain-Incheon,
Yanggu_Prehistory_Museum-Yanggu_gun_Gangwon_do,
Yanggu_Modern_History_Museum-Yanggu_gun_Gangwon_do,
The_4th_Tunnel-Yanggu_gun_Gangwon_do,26
Dumulmeori-Yangpyeong_gun_Gyeonggi_do,
Semiwon-Yangpyeong_gun_Gyeonggi_do,
Sujongsa_Temple-Namyangju_Gyeonggi_do,
Yongmeori_Beach-Seogwipo_Jeju_Island,9
Yangpyeong_Rail_Bike-Yangpyeong_gun_Gyeonggi_do,
N_Seoul_Tower-Seoul,
Seoul_Forest-Seoul,
Cheongpyeongsa_Temple-Chuncheon_Gangwon_do,10
Cheongpyeong_Lake-Gapyeong_gun_Gyeonggi_do,28
Cheongpyeong_Natural_Recreational_Forest-Gapyeong_gun_Gyeonggi_do,28
Soyang_Lake-Chuncheon_Gangwon_do,10
Trickeye_Museum_Seoul-Seoul,
Hyundai_Premium_Outlet_Gimpo-Gimpo_Gyeonggi_do,
Nagan_Eupseong_Folk_Village-Suncheon_Jeollanam_do,
Suncheon_Bay_Wetland_Reserve-Suncheon_Jeollanam_do,
Suncheon_Open_Film_Set-Suncheon_Jeollanam_do,
Suncheon_Japanese_Castle-Suncheon_Jeollanam_do,
Suncheon_Bay_Garden-Suncheon_Jeollanam_do,
Daejeon_Metro-Daejeon,
Hanbat_Arboretum-Daejeon,
Dacheon_Beach-Boryeong_Chungcheongnam_do,
Anyang_Central_Underground_Mall-Anyang_Gyeonggi_do,
Gwanaksan_Mountain-Seoul,
Anyang_Gidok_Baekhwajeom-Anyang_Gyeonggi_do,
Saejong_Takgoojang-Anyang_Gyeonggi_do,
Laveniche_March_Avenue-Gimpo_Gyeonggi_do,
Geumsan_Ginseng_Festival-Geumsan_gun_Chungcheongnam_do,
Seongdong_Market-Gyeongju_Gyeongsangbuk_do,19
Suseongdong_Valley-Seoul,
National_Museum_of_Korea-Seoul,
Magoksa_Temple-Gongju_Chungcheongnam_do,
Dangjin_Port_Tourism_Organization-Dangjin_Chungcheongnam_do,
National_Institute_of_Ecology-Seocheon_gun_Chungcheongnam_do,
83_Tower-Daegu,
E_World-Daegu,
Yeongju_Insam_Museum-Yeongju_Gyeongsangbuk_do,
Yeongju_Museom_Village-Yeongju_Gyeongsangbuk_do,
Myeongdong_Seocobulhanjeungmag-Seoul,1
Wondaeri_Birch_Forest-Inje_gun_Gangwon_do,
Baekdamsa_Temple-Inje_gun_Gangwon_do,
Pilrye_Mineral_Spring-Inje_gun_Gangwon_do,
Icheon_Ceramics_Village-Icheon_Gyeonggi_do,
Icheon_Termeden-Icheon_Gyeonggi_do,
Icheon_World_Ceramics_Center-Icheon_Gyeonggi_do,
Icheon_City_Museum-Icheon_Gyeonggi_do,
Dodamsambong_Peaks-Danyang_gun_Chungcheongbuk_do,
Guinsa_Temple-Danyang_gun_Chungcheongbuk_do,
Gosu_Cave-Danyang_gun_Chungcheongbuk_do,
Danyang_Market-Danyang_gun_Chungcheongbuk_do,
Danuri_Aquarium-Danyang_gun_Chungcheongbuk_do,
Yonsei_University_Museum-Seoul,
Yonsei_University_Sinchon_Campus-Seoul,4
Ewha_Womans_University-Seoul,
Yeonsero_Yonsei_University_Street-Seoul,
Jungmisan_Mountain_Recreational_Forest-Yangpyeong_gun_Gyeonggi_do,
Naju_Pear_Museum-Naju_Jeollanam_do,
Naju_National_Museum-Naju_Jeollanam_do,
Naju_Geumseonggwan-Naju_Jeollanam_do,
Bichgalam_Hosu_Gongwon_Jeonmangdae-Naju_Jeollanam_do,
Naju_Student_Independence_Movement_Memorial_Hall-Naju_Jeollanam_do,
Geoje_Okpo_Battle_Memorial_Park-Geoje_Gyeongsangnam_do,31
Geoje_Museum-Geoje_Gyeongsangnam_do,31
Imjinseong_Fortress-Namhae_gun_Gyeongsangnam_do,
Mecenatpolis_Mall-Seoul,
Lotte_Cinema_Hapjeong-Seoul,
Hongik_University_Street-Seoul,
Chodang_Sundubu_Village-Gangneung_Gangwon_do,21
Sungsin_Bowling-Seoul,
Bupyeong_Station_Underground_Shopping_Mall-Incheon,
Bupyeong_Market-Busan,
Bupyeong_Kkangtong_Market-Busan,
Bupyeong_Yeoksa_Shopping_Mall-Incheon,
Bupyeong_Market-Incheon,
Beautiplex_Myeongdong-Seoul,1
Busan_Gimhae_Light_Rail_Transit-Busan,
Maekdo_Ecological_Park-Busan,
Old_Gunsan_Custom_House-Gunsan_Jeollabuk_do,
GOTO_Mall-Seoul,
Express_Bus_Terminal_Shopping_Center-Seoul,
Banpodaegyo_Bridge-Seoul,
Pyeongtaek_International_Central_Market-Pyeongtaek_Gyeonggi_do,
Tongdosa_Temple-Yangsan_Gyeongsangnam_do,
Tongdo_Fantasia-Yangsan_Gyeongsangnam_do,
Tongdosa_Seongbo_Museum-Yangsan_Gyeongsangnam_do,
Jeongdongjin_Beach-Gangneung_Gangwon_do,21
Seoul_Daehangno-Seoul,
Busan_National_University_Daehak_ro-Busan,
Naksan_Park-Seoul,
Marronnier_Park-Seoul,
Sudoguksan_Museum_of_Housing_and_Living-Incheon,
Sinpo_International_Market-Incheon,
Mokdong_Stadium-Seoul,
Eco_Land_Theme_Park-Jeju_Jeju_Island,9
Shinhwa_Theme_Park-Seogwipo_Jeju_Island,9
German_Village-Namhae_gun_Gyeongsangnam_do,
Daraengi_Village-Namhae_gun_Gyeongsangnam_do,
Gimhae_National_Museum-Gimhae_Gyeongsangnam_do,
Gimhae_Int_l_Airport_International_Terminal_Tourist_Information_Center-Busan,
Tomb_of_King_Suro-Gimhae_Gyeongsangnam_do,
Gimhae_Gaya_Theme_Park-Gimhae_Gyeongsangnam_do,
Kimdaejoong_Convention_Center-Gwangju,
Byeolmaro_Observatory-Yeongwol_gun_Gangwon_do,
Jangneung-Yeongwol_gun_Gangwon_do,
Cheongnyeongpo_Cape-Yeongwol_gun_Gangwon_do,
Yeongwol_Insectarium-Yeongwol_gun_Gangwon_do,
Korean_Peninsula_shaped_Cliffs_Seonam_Village-Yeongwol_gun_Gangwon_do,
Seongnam_Jungang_Park-Seongnam_Gyeonggi_do,
Yuldong_Park-Seongnam_Gyeonggi_do,
Jeongja_dong_Cafe_Street-Seongnam_Gyeonggi_do,
The_War_Memorial_of_Korea-Seoul,
Korea_House-Seoul,
SEA_LIFE_Busan_Aquarium-Busan,
BIFF_Square-Busan,
Nampo_Underground_Shopping_Center-Busan,
Yeongdodaegyo_Bridge-Busan,
Gwangbokro_Culture_and_Fashion_street-Busan,
Goesan_Red_Pepper_Festival-Goesan_gun_Chungcheongbuk_do,
Sanmagi_Yetgil-Goesan_gun_Chungcheongbuk_do,
Suok_Falls-Goesan_gun_Chungcheongbuk_do,
Gwaesan_Cheonggyeol_Gochu_Museum-Goesan_gun_Chungcheongbuk_do,3
Seomyeon_Underground_Shopping_Center-Busan,
Seomyeon_Food_Alley-Busan,
Game_Of_Minds_Seomyeon-Busan,
Bujeon_Market-Busan,
Goseokjeong-Cheorwon_gun_Gangwon_do,
Nodongdangsa-Cheorwon_gun_Gangwon_do,
Cheorwon_Peace_Observatory-Cheorwon_gun_Gangwon_do,
The_2nd_Tunnel-Cheorwon_gun_Gangwon_do,26
Cheorwon_Culture_Welfare_Center-Cheorwon_gun_Gangwon_do,
Songpa_Naru_Park-Seoul,
Olympic_Park-Seoul,
Rock_Star_Climbing_Songpa_Daily_Experience-Seoul,
Bosudong_Book_Street-Busan,
National_Gwacheon_Science_Museum-Gwacheon_Gyeonggi_do,
MMCA_National_Museum_of_Modern_and_Contemporary_Art_Korea-Gwacheon_Gyeonggi_do,
LetsRun_Park_Seoul_Seoul_Racecourse_Park-Gwacheon_Gyeonggi_do,
Bangsan_Market-Seoul,
Grevin_Museum-Seoul,
Lotte_Department_Store_Main-Seoul,
Jungbu_Market-Seoul,
Yonghwa_Gongan_MegaDVD-Incheon,
Hanwha_Aqua_Planet_Ilsan-Goyang_Gyeonggi_do,
Yeongnamnu_Pavilion-Miryang_Gyeongsangnam_do,
Pyochungsa_Temple-Miryang_Gyeongsangnam_do,
Miryang_City_Museum-Miryang_Gyeongsangnam_do,
Eoreumgol_Valley-Miryang_Gyeongsangnam_do,
Mysterious_Road_Dokkaebi_Road-Jeju_Jeju_Island,9
Haeinsa_Temple-Hapcheon_Gun_Gyeongsangnam_do,
Haeinsa_Seongbo_Museum-Hapcheon_Gun_Gyeongsangnam_do,
Hapcheon_ImageThema_Park-Hapcheon_Gun_Gyeongsangnam_do,
Songgwangsa_Temple-Suncheon_Jeollanam_do,
Jirisan_National_Park-Hadong_gun_Gyeongsangnam_do,
Hwaeomsa_Temple-Gurye_gun_Jeollanam_do,
Samgwangsa_Temple-Busan,
Geumjung_Mt_fortress-Busan,
Beomeosa_Sungbo_Museum-Busan,
Geumgang_Park-Busan,
Hallyeohaesang_National_Park-Gyeongsangnam_do,
Anmyeondo_Island_Recreational_Forest-Taean_gun_Chungcheongnam_do,
Yangjae_Citizens_Park-Seoul,
Yangjae_Flower_Market_Center-Seoul,
Jeju_Taxi_Tour_Best-Jeju_Jeju_Island,9
Namdaemun_Market-Seoul,1
Sungnyemun_Gate-Seoul,
Petite_France-Gapyeong_gun_Gyeonggi_do,28
Hongdae_Art_Market_Free_Market-Seoul,4
Club_Bonita_Seoul-Seoul,
Incheon_Bridge_Memorial_Hall-Incheon,
Eurwangni_Beach-Incheon,
Cheonggyesan_Mountain-Gwacheon_Gyeonggi_do,3
Cheonggyecheon_Museum-Seoul,3
Seoul_Lantern_Festival-Seoul,
Jukjeon_Cafe_Street-Yongin_Gyeonggi_do,
Banseok_Station_Cafe_Street-Daejeon,
Woljeongri_Beach-Jeju_Jeju_Island,9
Gukje_Market-Busan,
Changwon_City_Museum-Changwon_Gyeongsangnam_do,
Mihwangsa_Temple-Haenam_gun_Jeollanam_do,
Munsin_Art_Museum-Changwon_Gyeongsangnam_do,
Goseong_Unification_Observatory-Goseong_gun_Gangwon_do,
Odusan_Unification_Tower-Paju_Gyeonggi_do,
Odusan_Unite_Lookout-Gyeonggi_do,
Suwon_World_Cup_Stadium-Suwon_Gyeonggi_do,33
Jeonju_World_Cup_Stadium-Jeonju_Jeollabuk_do,38
Hyundai_Department_Store_Apgujeong_Main-Seoul,23
Shinsegae_Dept_Store_Centum_City-Busan,25
APEC_Naru_Park-Busan,
Shinsegae_Gallery-Busan,
Gijang_Market-Busan,15
Samtan_Art_Mine-Jeongseon_gun_Gangwon_do,
Samcheok_Ocean_Railbike-Samcheok_Gangwon_do,
Jeongseon_Rail_Bike-Jeongseon_gun_Gangwon_do,
Yeosu_Ocean_Rail_Bike-Yeosu_Jeollanam_do,
