url,title
/Attraction_Review-g294197-d3808315-Reviews-Sungnyemun_Gate-Seoul.html,Sungnyemun Gate
/Attraction_Review-g294197-d6680423-Reviews-Tourist_Information_Center_of_Korea_Tourism_Organization-Seoul.html,Tourist Information Center of Korea Tourism Organization
/Attraction_Review-g294197-d3531799-Reviews-The_War_and_Women_s_Human_Rights_Museum-Seoul.html,The War and Women's Human Rights Museum
/Attraction_Review-g294197-d553246-Reviews-Sinchon-Seoul.html,Sinchon
/Attraction_Review-g294197-d4097409-Reviews-Korea_Furniture_Museum-Seoul.html,Korea Furniture Museum
/Attraction_Review-g294197-d9582584-Reviews-Doota-Seoul.html,Doota
/Attraction_Review-g294197-d3568803-Reviews-Banpodaegyo_Bridge-Seoul.html,Banpodaegyo Bridge
/Attraction_Review-g294197-d10288072-Reviews-D_Museum-Seoul.html,D Museum
/Attraction_Review-g294197-d8029067-Reviews-Teseum_Seoul-Seoul.html,Teseum Seoul
/Attraction_Review-g294197-d554533-Reviews-Dongdaemun_Gate_Heunginjimun-Seoul.html,Dongdaemun Gate (Heunginjimun)
/Attraction_Review-g294197-d1383393-Reviews-Migliore_Dongdaemun_Shop-Seoul.html,Migliore Dongdaemun Shop
/Attraction_Review-g294197-d592484-Reviews-Statue_of_Admiral_Yi_Sun_Sin-Seoul.html,Statue of Admiral Yi Sun-Sin
/Attraction_Review-g294197-d8822309-Reviews-Lotte_Young_Plaza_Myeongdong-Seoul.html,Lotte Young Plaza Myeongdong
/Attraction_Review-g294197-d592523-Reviews-Yongsan_Family_Park-Seoul.html,Yongsan Family Park
/Attraction_Review-g294197-d7891956-Reviews-Garak_Market-Seoul.html,Garak Market
/Attraction_Review-g294197-d7028432-Reviews-Dream_Forest-Seoul.html,Dream Forest
/Attraction_Review-g294197-d3822061-Reviews-IFC_Mall-Seoul.html,IFC Mall
/Attraction_Review-g294197-d4095502-Reviews-I_Park_Mall-Seoul.html,I-Park Mall
/Attraction_Review-g294197-d1809989-Reviews-Seoul_Museum_of_Art-Seoul.html,Seoul Museum of Art
/Attraction_Review-g294197-d4084362-Reviews-Kwanghee_Fasion_Mall-Seoul.html,Kwanghee Fasion Mall
